Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,1.860000,1.870000,1.630000,1.650000,1.650000,151900
2022-07-12,1.680000,1.735000,1.500000,1.560000,1.560000,231100
2022-07-13,1.510000,1.620000,1.460000,1.475000,1.475000,259300
2022-07-14,1.480000,1.510000,1.380000,1.400000,1.400000,125300
2022-07-15,1.390000,1.400000,1.153000,1.200000,1.200000,443800
2022-07-18,1.230000,1.270000,1.130000,1.210000,1.210000,485200
2022-07-19,1.180000,1.210000,1.050000,1.100000,1.100000,385100
2022-07-20,1.110000,1.180000,1.060000,1.160000,1.160000,539400
2022-07-21,1.120000,1.160000,1.090000,1.100000,1.100000,154300
2022-07-22,1.080000,1.160000,1.080000,1.120000,1.120000,243700
2022-07-25,1.140000,1.150000,1.020000,1.080000,1.080000,355400
2022-07-26,1.050000,1.080000,0.969000,1.030000,1.030000,389200
2022-07-27,1.030000,1.350000,0.976000,1.060000,1.060000,6123700
2022-07-28,1.050000,1.060000,0.981000,1.010000,1.010000,644100
2022-07-29,0.980000,1.010000,0.900000,0.948000,0.948000,651300
2022-08-01,0.940000,0.960000,0.810000,0.820000,0.820000,733800
2022-08-02,0.828000,1.150000,0.802000,0.964000,0.964000,17313800
2022-08-03,0.917000,1.030000,0.860000,0.913000,0.913000,3692700
2022-08-04,0.940000,0.958000,0.871000,0.915000,0.915000,1198400
2022-08-05,0.917000,0.930000,0.840000,0.860000,0.860000,1207000
2022-08-08,0.859000,0.980000,0.826000,0.949000,0.949000,3591200
2022-08-09,0.952000,1.040000,0.886000,0.913000,0.913000,2506400
2022-08-10,0.900000,0.920000,0.880000,0.899000,0.899000,704700
2022-08-11,0.920000,0.930000,0.869000,0.890000,0.890000,890900
2022-08-12,0.900000,1.090000,0.893000,1.080000,1.080000,2766900
2022-08-15,0.989000,1.140000,0.950000,0.970000,0.970000,2545200
2022-08-16,0.988000,0.988000,0.880000,0.922000,0.922000,1319600
2022-08-17,0.890000,0.900000,0.840000,0.880000,0.880000,820000
2022-08-18,0.880000,0.940000,0.880000,0.919000,0.919000,477500
